family,Category,rating,id,weights,styles,connotations,character,available_fonts
Noto Sans,sans-serif,14,noto-sans,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"NotoSansLepcha-Regular,NotoSansThaana,NotoSansBalinese,NotoSansMandaic-Regular,NotoSansTamilSupplement-Regular,NotoSansSymbols,NotoSansCaucasianAlbanian-Regular,NotoSansOldHungarian-Regular,NotoSansSaurashtra-Regular,NotoSans-Regular,NotoSansMultani-Regular,NotoSansHatran-Regular,NotoSansThai,NotoSansInscriptionalPahlavi-Regular,NotoSansHanunoo-Regular,NotoSansSyriac-Black,NotoSansBhaiksuki-Regular,NotoSansEthiopic,NotoSansManichaean-Regular,NotoSansSiddham-Regular,NotoSansNKo-Regular,NotoSansOsage-Regular,NotoSansPahawhHmong-Regular,NotoSansTangsa,NotoSansMro-Regular,NotoSansGeorgian,NotoSansDevanagariUI-Bold,NotoSansMayanNumerals-Regular,NotoSansAvestan-Regular,NotoSansMiao-Regular,NotoSansSyriac-Regular,NotoSansMendeKikakui-Regular,NotoSansSinhala,NotoSansMath-Regular,NotoSansDevanagariUI-Thin,NotoSansMono,NotoSansLydian-Regular,NotoSansMyanmarUI-Black,NotoSans-Medium,NotoSansChakma-Regular,NotoSansNabataean-Regular,NotoSansSundanese,NotoSansMyanmarUI-ExtraBold,NotoSansOgham-Regular,NotoSansDuployan-Regular,NotoSansSoyombo-Regular,NotoSansDevanagariUI-Light,NotoSansRejang-Regular,NotoSansGujaratiUI-Medium,NotoSansUgaritic-Regular,NotoSansGujaratiUI-Light,NotoSansLycian-Regular,NotoSansWarangCiti-Regular,NotoSansCanadianAboriginal,NotoSansGunjalaGondi-Regular,NotoSansThaiLooped-Light,NotoSansTeluguUI,NotoSansTirhuta-Regular,NotoSansOldSogdian-Regular,NotoSansTaiLe-Regular,NotoSansKannada,NotoSansHebrew,NotoSansThaiLooped-SemiBold,NotoSansKayahLi,NotoSansGujaratiUI-Thin,NotoSansOriyaUI-Black,NotoSansTelugu,NotoSans-MediumItalic,NotoSansTaiTham,NotoSansOriyaUI-Bold,NotoSansDevanagari,NotoSansDevanagariUI-ExtraLight,NotoSans-Black,NotoSansCarian-Regular,NotoSansTamilUI,NotoSans-Bold,NotoSansArmenian,NotoSans-Thin,NotoSansKannadaUI,NotoSansMyanmarUI-Regular,NotoSansOriyaUI-Thin,NotoSansModi-Regular,NotoSansThaiLooped-ExtraBold,NotoSansMeroitic-Regular,NotoSansPalmyrene-Regular,NotoSansPhagsPa-Regular,NotoSansGujaratiUI-Bold,NotoSansYi-Regular,NotoSansPsalterPahlavi-Regular,NotoSansLimbu-Regular,NotoSansCypriot-Regular,NotoSansRunic-Regular,NotoSansBassaVah,NotoSansThaiLooped-Medium,NotoSansMahajani-Regular,NotoSansGlagolitic-Regular,NotoSansBamum,NotoSansAdlamUnjoined,NotoSansVai-Regular,NotoSansTagbanwa-Regular,NotoSansMyanmarUI-SemiBold,NotoSansMyanmarUI-ExtraLight,NotoSansPhoenician-Regular,NotoSansThaiLooped-Regular,NotoSansTifinagh-Regular,NotoSansJP,NotoSansKaithi-Regular,NotoSansSogdian-Regular,NotoSansTakri-Regular,NotoSansArabicUI,NotoSansEgyptianHieroglyphs-Regular,NotoSansElymaic-Regular,NotoSansSyriac-Thin,NotoSansSamaritan-Regular,NotoSansElbasan-Regular,NotoSans-SemiBold,NotoSansCham,NotoSansKharoshthi-Regular,NotoSansSoraSompeng,NotoSansTagalog-Regular,NotoSansGujaratiUI-ExtraLight,NotoSansTamil,NotoSansBengali,NotoSansMalayalamUI,NotoSansSharada-Regular,NotoSansLaoLooped,NotoSansKhojki-Regular,NotoSansGujaratiUI-SemiBold,NotoSans-SemiBoldItalic,NotoSansInscriptionalParthian-Regular,NotoSansArabic,NotoSansMeeteiMayek,NotoSansGurmukhiUI,NotoSansThaiLooped-Black,NotoSansBuhid-Regular,NotoSans-LightItalic,NotoSansKR,NotoSansDevanagariUI-Medium,NotoSansSC,NotoSansDevanagariUI-Regular,NotoSansSinhalaUI,NotoSansHK,NotoSansKhudawadi-Regular,NotoSansOriya,NotoSansNushu-Regular,NotoSansIndicSiyaqNumbers-Regular,NotoSansBuginese-Regular,NotoSans-Light,NotoSansNewTaiLue,NotoSansCherokee,NotoSansMedefaidrin,NotoSansGujaratiUI-Regular,NotoSansLinearB-Regular,NotoSansThaiLooped-ExtraLight,NotoSansAdlam,NotoSansNewa-Regular,NotoSansSylotiNagri-Regular,NotoSans-BoldItalic,NotoSansOldPersian-Regular,NotoSansTC,NotoSansMyanmarUI-Light,NotoSansThaiLooped-Thin,NotoSansLinearA-Regular,NotoSansMyanmarUI-Thin,NotoSansCuneiform-Regular,NotoSans-BlackItalic,NotoSansBatak-Regular,NotoSansLaoUI,NotoSans-ExtraBoldItalic,NotoSansSymbols2-Regular,NotoSansGujaratiUI-Black,NotoSansMyanmarUI-Medium,NotoSansWancho-Regular,NotoSans-ExtraLight,NotoSansHanifiRohingya,NotoSansAnatolianHieroglyphs-Regular,NotoSansOldSouthArabian-Regular,NotoSansThaiUI,NotoSansPauCinHau-Regular,NotoSans-ThinItalic,NotoSans-ExtraLightItalic,NotoSansMarchen-Regular,NotoSansLao,NotoSansOldItalic-Regular,NotoSansGothic-Regular,NotoSansDevanagariUI-Black,NotoSansMyanmar,NotoSansKhmerUI,NotoSansGujaratiUI-ExtraBold,NotoSansOriyaUI-Regular,NotoSansDeseret-Regular,NotoSansShavian-Regular,NotoSansMasaramGondi-Regular,NotoSansTaiViet-Regular,NotoSansGurmukhi,NotoSansGrantha-Regular,NotoSansSignWriting-Regular,NotoSansLisu,NotoSansDisplay,NotoSansImperialAramaic-Regular,NotoSansDisplay-Italic,NotoSansBengaliUI,NotoSansBrahmi-Regular,NotoSansCoptic-Regular,NotoSansJavanese,NotoSansMalayalam,NotoSansOldTurkic-Regular,NotoSansOlChiki,NotoSansMyanmarUI-Bold,NotoSansDevanagariUI-SemiBold,NotoSansGujarati,NotoSansMongolian-Regular,NotoSansOldPermic-Regular,NotoSansThaiLooped-Bold,NotoSans-ExtraBold,NotoSansKhmer,NotoSansZanabazarSquare-Regular,NotoSansOldNorthArabian-Regular,NotoSansOsmanya-Regular,NotoSansDevanagariUI-ExtraBold,NotoSans-Italic"
Roboto Slab,serif,16,roboto-slab,"100,200,300,400,500,600,700,800,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,RobotoSlab
Nunito Sans,sans-serif,17,nunito-sans,"200,300,400,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"NunitoSansYTLC,NunitoSans-ItalicYTLC"
Nunito,sans-serif,18,nunito,"200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"NunitoSansYTLC,Nunito,NunitoSans-ItalicYTLC,Nunito-Italic"
Playfair Display,serif,19,playfair-display,"400,500,600,700,800,900","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"PlayfairDisplaySC-BoldItalic,PlayfairDisplaySC-Black,PlayfairDisplaySC-Italic,PlayfairDisplaySC-Regular,PlayfairDisplaySC-Bold,PlayfairDisplay-Italic,PlayfairDisplaySC-BlackItalic,PlayfairDisplay"
Merriweather,serif,20,merriweather,"300,400,700,900","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Merriweather-Bold,Merriweather-Regular,Merriweather-Light,Merriweather-BoldItalic,MerriweatherSans-Italic,Merriweather-BlackItalic,Merriweather-Italic,MerriweatherSans,Merriweather-Black,Merriweather-LightItalic"
Rubik,sans-serif,21,rubik,"300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"RubikMaze-Regular,RubikIso-Regular,RubikMicrobe-Regular,RubikPuddles-Regular,RubikMoonrocks-Regular,RubikBeastly-Regular,RubikOne-Regular,RubikDistressed-Regular,RubikWetPaint-Regular,RubikBurned-Regular,RubikPixels-Regular,RubikVinyl-Regular,RubikGemstones-Regular,RubikStorm-Regular,Rubik-Italic,Rubik80sFade-Regular,RubikBubbles-Regular,RubikSprayPaint-Regular,RubikGlitch-Regular,Rubik,RubikMarkerHatch-Regular,RubikDirt-Regular,RubikMonoOne-Regular"
Noto Sans KR,sans-serif,23,noto-sans-kr,"100,300,400,500,700,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,NotoSansKR
Mukta,sans-serif,24,mukta,"200,300,400,500,600,700,800",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Mukta-ExtraBold,MuktaMalar-SemiBold,EkMukta-Light,MuktaVaani-SemiBold,MuktaMahee-Regular,MuktaMalar-Bold,MuktaMalar-Medium,MuktaMahee-ExtraBold,MuktaMahee-Light,MuktaMalar-ExtraBold,EkMukta-ExtraBold,EkMukta-Bold,MuktaVaani-Regular,MuktaVaani-ExtraLight,Mukta-SemiBold,Mukta-Bold,MuktaMalar-Regular,Mukta-ExtraLight,Mukta-Light,MuktaVaani-ExtraBold,MuktaMahee-Bold,EkMukta-Medium,EkMukta-ExtraLight,MuktaVaani-Bold,MuktaMalar-Light,MuktaVaani-Light,EkMukta-Regular,MuktaMahee-Medium,Mukta-Medium,MuktaMahee-SemiBold,MuktaMalar-ExtraLight,Mukta-Regular,MuktaVaani-Medium,EkMukta-SemiBold,MuktaMahee-ExtraLight"
Kanit,sans-serif,25,kanit,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Kanit-ExtraLight,Kanit-ThinItalic,Kanit-BoldItalic,Kanit-SemiBold,Kanit-Black,Kanit-Regular,Kanit-Italic,Kanit-MediumItalic,Kanit-Thin,Kanit-ExtraBoldItalic,Kanit-ExtraBold,Kanit-Bold,Kanit-SemiBoldItalic,Kanit-BlackItalic,Kanit-Light,Kanit-LightItalic,Kanit-ExtraLightItalic,Kanit-Medium"
Work Sans,sans-serif,26,work-sans,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"WorkSans,WorkSans-Italic"
Lora,serif,27,lora,"400,500,600,700","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Lora-Italic,Lora,Explora-Regular"
Fira Sans,sans-serif,28,fira-sans,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"FiraSansCondensed-Black,FiraSans-Thin,FiraSansExtraCondensed-MediumItalic,FiraSans-ExtraLightItalic,FiraSans-LightItalic,FiraSansExtraCondensed-Italic,FiraSansCondensed-Regular,FiraSans-Medium,FiraSans-BoldItalic,FiraSans-Bold,FiraSans-ExtraLight,FiraSansCondensed-ExtraBold,FiraSansExtraCondensed-BlackItalic,FiraSans-ThinItalic,FiraSansExtraCondensed-Light,FiraSansCondensed-Medium,FiraSansCondensed-Bold,FiraSansExtraCondensed-LightItalic,FiraSans-MediumItalic,FiraSansCondensed-Thin,FiraSansCondensed-SemiBoldItalic,FiraSans-BlackItalic,FiraSans-Light,FiraSansCondensed-ExtraLightItalic,FiraSansCondensed-MediumItalic,FiraSansExtraCondensed-BoldItalic,FiraSansExtraCondensed-ThinItalic,FiraSans-Black,FiraSansExtraCondensed-ExtraLight,FiraSansCondensed-LightItalic,FiraSans-ExtraBold,FiraSans-SemiBold,FiraSans-SemiBoldItalic,FiraSansExtraCondensed-Medium,FiraSansCondensed-SemiBold,FiraSansExtraCondensed-Thin,FiraSansExtraCondensed-Black,FiraSansExtraCondensed-Regular,FiraSansExtraCondensed-ExtraLightItalic,FiraSansCondensed-ExtraBoldItalic,FiraSansExtraCondensed-SemiBoldItalic,FiraSans-ExtraBoldItalic,FiraSansCondensed-Light,FiraSansCondensed-BoldItalic,FiraSansExtraCondensed-ExtraBold,FiraSansCondensed-Italic,FiraSansExtraCondensed-Bold,FiraSans-Regular,FiraSans-Italic,FiraSansExtraCondensed-ExtraBoldItalic,FiraSansCondensed-ExtraLight,FiraSansCondensed-ThinItalic,FiraSansExtraCondensed-SemiBold,FiraSansCondensed-BlackItalic"
Noto Sans TC,sans-serif,29,noto-sans-tc,"100,300,400,500,700,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,NotoSansTC
Quicksand,sans-serif,30,quicksand,"300,400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Quicksand
Barlow,sans-serif,31,barlow,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Barlow-Light,BarlowCondensed-BoldItalic,BarlowSemiCondensed-Black,Barlow-SemiBoldItalic,BarlowCondensed-ThinItalic,BarlowCondensed-BlackItalic,BarlowCondensed-ExtraLight,BarlowCondensed-Thin,BarlowCondensed-Bold,Barlow-BoldItalic,BarlowSemiCondensed-Regular,Barlow-ExtraLight,BarlowSemiCondensed-Italic,Barlow-ThinItalic,Barlow-MediumItalic,BarlowCondensed-Light,BarlowCondensed-ExtraLightItalic,BarlowCondensed-Medium,BarlowCondensed-SemiBoldItalic,BarlowSemiCondensed-ExtraBold,Barlow-Italic,BarlowCondensed-MediumItalic,BarlowCondensed-LightItalic,Barlow-ExtraLightItalic,Barlow-ExtraBoldItalic,BarlowCondensed-Italic,BarlowSemiCondensed-LightItalic,BarlowSemiCondensed-ExtraBoldItalic,BarlowSemiCondensed-Thin,Barlow-Thin,Barlow-ExtraBold,Barlow-LightItalic,BarlowCondensed-Black,Barlow-Bold,BarlowSemiCondensed-Bold,BarlowCondensed-Regular,Barlow-Medium,BarlowCondensed-SemiBold,BarlowSemiCondensed-ExtraLightItalic,Barlow-Regular,BarlowSemiCondensed-MediumItalic,BarlowCondensed-ExtraBoldItalic,Barlow-BlackItalic,Barlow-SemiBold,BarlowSemiCondensed-SemiBoldItalic,BarlowSemiCondensed-ThinItalic,BarlowSemiCondensed-Medium,BarlowSemiCondensed-Light,BarlowSemiCondensed-SemiBold,BarlowCondensed-ExtraBold,BarlowSemiCondensed-ExtraLight,Barlow-Black,BarlowSemiCondensed-BlackItalic,BarlowSemiCondensed-BoldItalic"
Mulish,sans-serif,32,mulish,"200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Mulish-Italic,Mulish"
Inconsolata,monospace,33,inconsolata,"200,300,400,500,600,700,800,900",['normal'],"technical, precise, retro, futuristic, minimal, structured",character5,"Inconsolata-UltraExpandedMedium,Inconsolata-SemiExpanded,Inconsolata-UltraExpandedLight,Inconsolata-UltraCondensedBlack,Inconsolata-UltraCondensedSemiBold,Inconsolata-UltraCondensedRegular,Inconsolata-CondensedLight,Inconsolata-SemiExpandedMedium,Inconsolata-ExpandedExtraLight,Inconsolata-SemiBold,Inconsolata-ExtraCondensedBold,Inconsolata-Medium,Inconsolata-ExtraCondensedRegular,Inconsolata-SemiExpandedBold,Inconsolata-Black,Inconsolata-SemiCondensedSemiBold,Inconsolata-SemiExpandedSemiBold,Inconsolata-SemiCondensedBlack,Inconsolata-SemiExpandedExtraBold,Inconsolata-ExtraExpandedLight,Inconsolata-ExtraCondensedLight,Inconsolata-ExtraCondensedExtraBold,Inconsolata-CondensedRegular,Inconsolata-SemiExpandedExtraLight,Inconsolata-ExpandedBlack,Inconsolata-UltraExpandedExtraBold,Inconsolata,Inconsolata-Expanded,Inconsolata-UltraExpandedExtraLight,Inconsolata-SemiExpandedBlack,Inconsolata-UltraCondensedBold,Inconsolata-Condensed,Inconsolata-ExpandedLight,Inconsolata-UltraExpandedRegular,Inconsolata-ExpandedSemiBold,Inconsolata-ExtraLight,Inconsolata-CondensedExtraBold,Inconsolata-SemiExpandedLight,Inconsolata-Bold,Inconsolata-UltraCondensed,Inconsolata-CondensedSemiBold,Inconsolata-CondensedMedium,Inconsolata-ExtraExpandedBlack,Inconsolata-ExtraCondensedBlack,Inconsolata-ExtraCondensedMedium,Inconsolata-ExtraExpandedMedium,Inconsolata-ExtraExpanded,Inconsolata-SemiExpandedRegular,Inconsolata-ExtraBold,Inconsolata-SemiCondensedExtraLight,Inconsolata-ExtraCondensedSemiBold,Inconsolata-UltraExpanded,Inconsolata-UltraExpandedBold,Inconsolata-SemiCondensedMedium,Inconsolata-ExtraExpandedExtraBold,Inconsolata-UltraExpandedSemiBold,Inconsolata-SemiCondensed,Inconsolata-CondensedBlack,Inconsolata-ExtraExpandedRegular,Inconsolata-SemiCondensedLight,Inconsolata-ExpandedExtraBold,Inconsolata-SemiCondensedRegular,Inconsolata-UltraCondensedExtraBold,Inconsolata-SemiCondensedExtraBold,Inconsolata-UltraCondensedExtraLight,Inconsolata-ExpandedRegular,Inconsolata-ExtraCondensedExtraLight,Inconsolata-ExpandedMedium,Inconsolata-Light,Inconsolata-ExtraExpandedSemiBold,Inconsolata-CondensedBold,Inconsolata-ExtraExpandedExtraLight,Inconsolata-Regular,Inconsolata-ExtraCondensed,Inconsolata-ExpandedBold,Inconsolata-SemiCondensedBold,Inconsolata-UltraCondensedMedium,Inconsolata-ExtraExpandedBold,Inconsolata-UltraExpandedBlack,Inconsolata-CondensedExtraLight,Inconsolata-UltraCondensedLight"
Titillium Web,sans-serif,35,titillium-web,"200,300,400,600,700,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"TitilliumWeb-Black,TitilliumWeb-Bold,TitilliumWeb-Regular,TitilliumWeb-SemiBold,TitilliumWeb-ExtraLight,TitilliumWeb-BoldItalic,TitilliumWeb-ExtraLightItalic,TitilliumWeb-SemiBoldItalic,TitilliumWeb-LightItalic,TitilliumWeb-Italic,TitilliumWeb-Light"
IBM Plex Sans,sans-serif,36,ibm-plex-sans,"100,200,300,400,500,600,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"IBMPlexSansArabic-SemiBold,IBMPlexSansCondensed-MediumItalic,IBMPlexSansArabic-Regular,IBMPlexSansJP-Bold,IBMPlexSansArabic-Light,IBMPlexSansKR-ExtraLight,IBMPlexSansCondensed-Italic,IBMPlexSansJP-Thin,IBMPlexSans-SemiBoldItalic,IBMPlexSans-Medium,IBMPlexSansJP-ExtraLight,IBMPlexSansDevanagari-Medium,IBMPlexSansThai-Regular,IBMPlexSansKR-Regular,IBMPlexSansThaiLooped-Thin,IBMPlexSansThai-Bold,IBMPlexSansCondensed-Bold,IBMPlexSansThaiLooped-Medium,IBMPlexSansThai-Medium,IBMPlexSansHebrew-Regular,IBMPlexSansCondensed-Thin,IBMPlexSansThai-Thin,IBMPlexSansThaiLooped-Bold,IBMPlexSansCondensed-Light,IBMPlexSansJP-Medium,IBMPlexSansDevanagari-ExtraLight,IBMPlexSansJP-SemiBold,IBMPlexSansKR-SemiBold,IBMPlexSansKR-Medium,IBMPlexSansHebrew-Light,IBMPlexSansDevanagari-Regular,IBMPlexSansThai-Light,IBMPlexSans-SemiBold,IBMPlexSansThaiLooped-SemiBold,IBMPlexSansJP-Light,IBMPlexSans-MediumItalic,IBMPlexSansCondensed-LightItalic,IBMPlexSansThaiLooped-Regular,IBMPlexSansCondensed-ExtraLight,IBMPlexSansCondensed-ThinItalic,IBMPlexSansThai-ExtraLight,IBMPlexSansArabic-ExtraLight,IBMPlexSansKR-Light,IBMPlexSansCondensed-BoldItalic,IBMPlexSansThaiLooped-Light,IBMPlexSans-LightItalic,IBMPlexSansJP-Regular,IBMPlexSans-ExtraLight,IBMPlexSans-Thin,IBMPlexSansHebrew-SemiBold,IBMPlexSansCondensed-SemiBoldItalic,IBMPlexSans-ThinItalic,IBMPlexSansHebrew-Thin,IBMPlexSansCondensed-ExtraLightItalic,IBMPlexSansThaiLooped-ExtraLight,IBMPlexSans-BoldItalic,IBMPlexSansDevanagari-Bold,IBMPlexSansCondensed-Regular,IBMPlexSansKR-Thin,IBMPlexSansArabic-Bold,IBMPlexSansArabic-Thin,IBMPlexSansKR-Bold,IBMPlexSans-Light,IBMPlexSansDevanagari-Thin,IBMPlexSansDevanagari-SemiBold,IBMPlexSans-Italic,IBMPlexSansHebrew-Bold,IBMPlexSans-Regular,IBMPlexSans-ExtraLightItalic,IBMPlexSansCondensed-SemiBold,IBMPlexSansDevanagari-Light,IBMPlexSansThai-SemiBold,IBMPlexSansArabic-Medium,IBMPlexSansHebrew-Medium,IBMPlexSansHebrew-ExtraLight,IBMPlexSans-Bold,IBMPlexSansCondensed-Medium"
Heebo,sans-serif,37,heebo,"100,200,300,400,500,600,700,800,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Heebo
DM Sans,sans-serif,38,dm-sans,"400,500,700","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"DMSans-Regular,DMSans-Medium,DMSans-Bold,DMSans-BoldItalic,DMSans-MediumItalic,DMSans-Italic"
