family,Category,rating,id,weights,styles,connotations,character,available_fonts,fam_lower,year,description,keywords,designer
Oswald,sans-serif,12,oswald,"200,300,400,500,600,700",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,Oswald,oswald,2016.0,"
Oswald is a reworking of the classic style historically represented by the 'Alternate Gothic' sans serif typefaces.
The characters of Oswald were initially re-drawn and reformed to better fit the pixel grid of standard digital screens.
Oswald is designed to be used freely across the internet by web browsers on desktop computers, laptops and mobile devices.


Since the initial launch in 2011, Oswald was updated continually by Vernon Adams until 2014.
Vernon added Light and Bold weights, support for more Latin and Cyrillic languages, tightened the spacing and kerning and made many glyph refinements throughout the family based on hundreds of users' feedback.
In 2016 the Latin part of the family was updated by Kalapi Gajjar to complete the work started by Vernon.
In January 2019, it was updated with a variable font Weight axis.


To contribute, see github.com/googlefonts/OswaldFont

","{'classic', 'initial', 'variable', 'historical', 'complete'}","['Vernon Adams', 'Kalapi Gajjar', 'Cyreal']"
Raleway,sans-serif,13,raleway,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"RalewayDots-Regular,Raleway,Raleway-Italic",raleway,2010.0,"
Raleway is an elegant sans-serif typeface family. 
Initially designed by Matt McInerney as a single thin weight, it was expanded into a 9 weight family by Pablo Impallari and Rodrigo Fuenzalida in 2012 and iKerned by Igino Marini.
A thorough review and italic was added in 2016.


It is a display face and the download features both old style and lining numerals, standard and discretionary ligatures, a pretty complete set of diacritics, as well as a stylistic alternate inspired by more geometric sans-serif typefaces than its neo-grotesque inspired default character set.


It also has a sister family, Raleway Dots.


More information can be found at theleagueofmoveabletype.com and impallari.com


To contribute to the project, visit github.com/impallari/Raleway


Updated: Feburary 2016, thoroughly updated the design with new spacing and kerning, raised f bar, added italics, new family naming metadata, and hinted with ttfautohint.

","{'stylistic', 'single', 'complete'}","['Matt McInerney', 'Pablo Impallari', 'Rodrigo Fuenzalida']"
Noto Sans,sans-serif,14,noto-sans,"100,200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"NotoSansLepcha-Regular,NotoSansThaana,NotoSansBalinese,NotoSansMandaic-Regular,NotoSansTamilSupplement-Regular,NotoSansSymbols,NotoSansCaucasianAlbanian-Regular,NotoSansOldHungarian-Regular,NotoSansSaurashtra-Regular,NotoSans-Regular,NotoSansMultani-Regular,NotoSansHatran-Regular,NotoSansThai,NotoSansInscriptionalPahlavi-Regular,NotoSansHanunoo-Regular,NotoSansSyriac-Black,NotoSansBhaiksuki-Regular,NotoSansEthiopic,NotoSansManichaean-Regular,NotoSansSiddham-Regular,NotoSansNKo-Regular,NotoSansOsage-Regular,NotoSansPahawhHmong-Regular,NotoSansTangsa,NotoSansMro-Regular,NotoSansGeorgian,NotoSansDevanagariUI-Bold,NotoSansMayanNumerals-Regular,NotoSansAvestan-Regular,NotoSansMiao-Regular,NotoSansSyriac-Regular,NotoSansMendeKikakui-Regular,NotoSansSinhala,NotoSansMath-Regular,NotoSansDevanagariUI-Thin,NotoSansMono,NotoSansLydian-Regular,NotoSansMyanmarUI-Black,NotoSans-Medium,NotoSansChakma-Regular,NotoSansNabataean-Regular,NotoSansSundanese,NotoSansMyanmarUI-ExtraBold,NotoSansOgham-Regular,NotoSansDuployan-Regular,NotoSansSoyombo-Regular,NotoSansDevanagariUI-Light,NotoSansRejang-Regular,NotoSansGujaratiUI-Medium,NotoSansUgaritic-Regular,NotoSansGujaratiUI-Light,NotoSansLycian-Regular,NotoSansWarangCiti-Regular,NotoSansCanadianAboriginal,NotoSansGunjalaGondi-Regular,NotoSansThaiLooped-Light,NotoSansTeluguUI,NotoSansTirhuta-Regular,NotoSansOldSogdian-Regular,NotoSansTaiLe-Regular,NotoSansKannada,NotoSansHebrew,NotoSansThaiLooped-SemiBold,NotoSansKayahLi,NotoSansGujaratiUI-Thin,NotoSansOriyaUI-Black,NotoSansTelugu,NotoSans-MediumItalic,NotoSansTaiTham,NotoSansOriyaUI-Bold,NotoSansDevanagari,NotoSansDevanagariUI-ExtraLight,NotoSans-Black,NotoSansCarian-Regular,NotoSansTamilUI,NotoSans-Bold,NotoSansArmenian,NotoSans-Thin,NotoSansKannadaUI,NotoSansMyanmarUI-Regular,NotoSansOriyaUI-Thin,NotoSansModi-Regular,NotoSansThaiLooped-ExtraBold,NotoSansMeroitic-Regular,NotoSansPalmyrene-Regular,NotoSansPhagsPa-Regular,NotoSansGujaratiUI-Bold,NotoSansYi-Regular,NotoSansPsalterPahlavi-Regular,NotoSansLimbu-Regular,NotoSansCypriot-Regular,NotoSansRunic-Regular,NotoSansBassaVah,NotoSansThaiLooped-Medium,NotoSansMahajani-Regular,NotoSansGlagolitic-Regular,NotoSansBamum,NotoSansAdlamUnjoined,NotoSansVai-Regular,NotoSansTagbanwa-Regular,NotoSansMyanmarUI-SemiBold,NotoSansMyanmarUI-ExtraLight,NotoSansPhoenician-Regular,NotoSansThaiLooped-Regular,NotoSansTifinagh-Regular,NotoSansJP,NotoSansKaithi-Regular,NotoSansSogdian-Regular,NotoSansTakri-Regular,NotoSansArabicUI,NotoSansEgyptianHieroglyphs-Regular,NotoSansElymaic-Regular,NotoSansSyriac-Thin,NotoSansSamaritan-Regular,NotoSansElbasan-Regular,NotoSans-SemiBold,NotoSansCham,NotoSansKharoshthi-Regular,NotoSansSoraSompeng,NotoSansTagalog-Regular,NotoSansGujaratiUI-ExtraLight,NotoSansTamil,NotoSansBengali,NotoSansMalayalamUI,NotoSansSharada-Regular,NotoSansLaoLooped,NotoSansKhojki-Regular,NotoSansGujaratiUI-SemiBold,NotoSans-SemiBoldItalic,NotoSansInscriptionalParthian-Regular,NotoSansArabic,NotoSansMeeteiMayek,NotoSansGurmukhiUI,NotoSansThaiLooped-Black,NotoSansBuhid-Regular,NotoSans-LightItalic,NotoSansKR,NotoSansDevanagariUI-Medium,NotoSansSC,NotoSansDevanagariUI-Regular,NotoSansSinhalaUI,NotoSansHK,NotoSansKhudawadi-Regular,NotoSansOriya,NotoSansNushu-Regular,NotoSansIndicSiyaqNumbers-Regular,NotoSansBuginese-Regular,NotoSans-Light,NotoSansNewTaiLue,NotoSansCherokee,NotoSansMedefaidrin,NotoSansGujaratiUI-Regular,NotoSansLinearB-Regular,NotoSansThaiLooped-ExtraLight,NotoSansAdlam,NotoSansNewa-Regular,NotoSansSylotiNagri-Regular,NotoSans-BoldItalic,NotoSansOldPersian-Regular,NotoSansTC,NotoSansMyanmarUI-Light,NotoSansThaiLooped-Thin,NotoSansLinearA-Regular,NotoSansMyanmarUI-Thin,NotoSansCuneiform-Regular,NotoSans-BlackItalic,NotoSansBatak-Regular,NotoSansLaoUI,NotoSans-ExtraBoldItalic,NotoSansSymbols2-Regular,NotoSansGujaratiUI-Black,NotoSansMyanmarUI-Medium,NotoSansWancho-Regular,NotoSans-ExtraLight,NotoSansHanifiRohingya,NotoSansAnatolianHieroglyphs-Regular,NotoSansOldSouthArabian-Regular,NotoSansThaiUI,NotoSansPauCinHau-Regular,NotoSans-ThinItalic,NotoSans-ExtraLightItalic,NotoSansMarchen-Regular,NotoSansLao,NotoSansOldItalic-Regular,NotoSansGothic-Regular,NotoSansDevanagariUI-Black,NotoSansMyanmar,NotoSansKhmerUI,NotoSansGujaratiUI-ExtraBold,NotoSansOriyaUI-Regular,NotoSansDeseret-Regular,NotoSansShavian-Regular,NotoSansMasaramGondi-Regular,NotoSansTaiViet-Regular,NotoSansGurmukhi,NotoSansGrantha-Regular,NotoSansSignWriting-Regular,NotoSansLisu,NotoSansDisplay,NotoSansImperialAramaic-Regular,NotoSansDisplay-Italic,NotoSansBengaliUI,NotoSansBrahmi-Regular,NotoSansCoptic-Regular,NotoSansJavanese,NotoSansMalayalam,NotoSansOldTurkic-Regular,NotoSansOlChiki,NotoSansMyanmarUI-Bold,NotoSansDevanagariUI-SemiBold,NotoSansGujarati,NotoSansMongolian-Regular,NotoSansOldPermic-Regular,NotoSansThaiLooped-Bold,NotoSans-ExtraBold,NotoSansKhmer,NotoSansZanabazarSquare-Regular,NotoSansOldNorthArabian-Regular,NotoSansOsmanya-Regular,NotoSansDevanagariUI-ExtraBold,NotoSans-Italic",notosans,2021.0,"
  Noto is a global font collection for writing in all modern and ancient
  languages. Noto Sans is an unmodulated (“sans serif”) design for texts in the
  Latin, Cyrillic and Greek scripts, which is also suitable as
  the complementary choice for other script-specific Noto Sans fonts. It has
  italic styles, multiple weights and widths, and 3,741 glyphs.


  To contribute, see
  github.com/googlefonts/noto-source

","{'global', 'modern', 'specific', 'unmodulated', 'suitable'}",['Google']
Roboto Slab,serif,16,roboto-slab,"100,200,300,400,500,600,700,800,900",['normal'],"traditional, elegant, trustworthy, formal, classic, established, reliable",character3,RobotoSlab,robotoslab,2018.0,"Roboto has a dual nature. It has a mechanical skeleton and the forms are
largely geometric. At the same time, the font features friendly and open
curves. While some grotesks distort their letterforms to force a rigid rhythm,
Roboto doesn’t compromise, allowing letters to be settled into their natural
width. This makes for a more natural reading rhythm more commonly found in
humanist and serif types.
This is the Roboto Slab family, which can be used alongside the normal 
Roboto family and the 
Roboto Condensed family.
In November 2019, the family was updated with a variable font ""Weight"" axis.
To contribute, see github.com/googlefonts/robotoslab.
","{'natural', 'mechanical', 'normal', 'variable', 'common'}",['Christian Robertson']
Nunito Sans,sans-serif,17,nunito-sans,"200,300,400,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"NunitoSansYTLC,NunitoSans-ItalicYTLC",nunitosans,2016.0,"
Nunito is a well balanced sans serif typeface superfamily, with 2 versions: 
The project began with Nunito, created by Vernon Adams as a rounded terminal sans serif for display typography. 
Jacques Le Bailly extended it to a full set of weights, and an accompanying regular non-rounded terminal version, Nunito Sans.

In February 2023, Nunito Sans has been upgraded to a variable font with four axes: ascenders high, optical size, width and weight. Cyrillic has been added and the language support expanded.
To contribute, please see github.com/googlefonts/NunitoSans.
","{'variable', 'upgraded', 'regular', 'optical'}","['Vernon Adams', 'Jacques Le Bailly', 'Manvel Shmavonyan', 'Alexei Vanyashin']"
Nunito,sans-serif,18,nunito,"200,300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"NunitoSansYTLC,Nunito,NunitoSans-ItalicYTLC,Nunito-Italic",nunito,2014.0,"
    Nunito is a well balanced sans serif typeface superfamily, with 2 versions:
    The project began with Nunito, created by Vernon Adams as a rounded terminal sans serif for display typography.
    Jacques Le Bailly extended it to a full set of weights, and an accompanying regular non-rounded terminal version, Nunito Sans.


    To contribute, see github.com/googlefonts/nunito.
",{'regular'},"['Vernon Adams', 'Cyreal', 'Jacques Le Bailly']"
Playfair Display,serif,19,playfair-display,"400,500,600,700,800,900","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"PlayfairDisplaySC-BoldItalic,PlayfairDisplaySC-Black,PlayfairDisplaySC-Italic,PlayfairDisplaySC-Regular,PlayfairDisplaySC-Bold,PlayfairDisplay-Italic,PlayfairDisplaySC-BlackItalic,PlayfairDisplay",playfairdisplay,2017.0,"
Playfair is a transitional design. 
In the European Enlightenment in the late 18th century, broad nib quills were replaced by pointed steel pens as the popular writing tool of the day.
Together with developments in printing technology, ink, and paper making, it became to print letterforms of high contrast and delicate hairlines that were increasingly detached from the written letterforms.


This design lends itself to this period, and while it is not a revival of any particular design, it takes influence from the designs of John Baskerville and from ‘Scotch Roman’ designs.
Being a Display (large size) design in the transitional genre, functionally and stylistically it can accompany Georgia for body text.


This is the main family, with a sibling Playfair Display SC small caps family. 
The main family downloaded font files include a full set of small caps, common ligatures, and discretionary ligatures.


Updated November 2017 with many small improvements and additional language support. The family has been converted to a variable font in August 2019.


The Playfair project is led by Claus Eggers Sørensen, a type designer based in Amsterdam, Netherlands. 
To contribute, see github.com/clauseggers/Playfair-Display

","{'particular', 'functional', 'popular', 'additional', 'stylistic', 'variable', 'transitional', 'common'}",['Claus Eggers Sørensen']
Merriweather,serif,20,merriweather,"300,400,700,900","['italic', 'normal']","traditional, elegant, trustworthy, formal, classic, established, reliable",character3,"Merriweather-Bold,Merriweather-Regular,Merriweather-Light,Merriweather-BoldItalic,MerriweatherSans-Italic,Merriweather-BlackItalic,Merriweather-Italic,MerriweatherSans,Merriweather-Black,Merriweather-LightItalic",merriweather,2016.0,"
Merriweather was designed to be a text face that is pleasant to read on screens.
It features a very large x height, slightly condensed letterforms, a mild diagonal stress, sturdy serifs and open forms.


There is also Merriweather Sans, a sans-serif version which closely harmonizes with the weights and styles of this serif family.


The Merriweather project is led by Sorkin Type, a type design foundry based in Western Massachaussets, USA.
To contribute, see github.com/SorkinType/Merriweather

",set(),['Sorkin Type']
Rubik,sans-serif,21,rubik,"300,400,500,600,700,800,900","['italic', 'normal']","modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"RubikMaze-Regular,RubikIso-Regular,RubikMicrobe-Regular,RubikPuddles-Regular,RubikMoonrocks-Regular,RubikBeastly-Regular,RubikOne-Regular,RubikDistressed-Regular,RubikWetPaint-Regular,RubikBurned-Regular,RubikPixels-Regular,RubikVinyl-Regular,RubikGemstones-Regular,RubikStorm-Regular,Rubik-Italic,Rubik80sFade-Regular,RubikBubbles-Regular,RubikSprayPaint-Regular,RubikGlitch-Regular,Rubik,RubikMarkerHatch-Regular,RubikDirt-Regular,RubikMonoOne-Regular",rubik,2015.0,"
Rubik is a sans serif font family with slightly rounded corners designed by Philipp Hubert and Sebastian Fischer at Hubert & Fischer as part of the Chrome Cube Lab project.


Rubik is a 5 weight family with Roman and Italic styles, that accompanies Rubik Mono One, a monospaced variation of the Black roman design.


Meir Sadan redesigned the Hebrew component in 2015.
Alexei Vanyashin redesigned the Cyrillic component in 2016.


To contribute, see github.com/googlefonts/Rubik.

",set(),"['Hubert and Fischer', 'Meir Sadan', 'Cyreal']"
Noto Sans KR,sans-serif,23,noto-sans-kr,"100,300,400,500,700,900",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,NotoSansKR,notosanskr,2021.0,"
  Noto is a global font collection for writing in all modern and ancient
  languages. Noto Sans KR is an unmodulated (“sans serif”) design for the
  Korean language using Hangul and the
  Korean Hanja scripts. It also supports
  Hiragana, Katakana, Latin, Cyrillic and Greek. It has multiple weights.  
","{'global', 'unmodulated', 'modern'}",['Google']
Mukta,sans-serif,24,mukta,"200,300,400,500,600,700,800",['normal'],"modern, clean, universal, open, informal, progressive, simple, minimal, contemporary, futuristic",character1,"Mukta-ExtraBold,MuktaMalar-SemiBold,EkMukta-Light,MuktaVaani-SemiBold,MuktaMahee-Regular,MuktaMalar-Bold,MuktaMalar-Medium,MuktaMahee-ExtraBold,MuktaMahee-Light,MuktaMalar-ExtraBold,EkMukta-ExtraBold,EkMukta-Bold,MuktaVaani-Regular,MuktaVaani-ExtraLight,Mukta-SemiBold,Mukta-Bold,MuktaMalar-Regular,Mukta-ExtraLight,Mukta-Light,MuktaVaani-ExtraBold,MuktaMahee-Bold,EkMukta-Medium,EkMukta-ExtraLight,MuktaVaani-Bold,MuktaMalar-Light,MuktaVaani-Light,EkMukta-Regular,MuktaMahee-Medium,Mukta-Medium,MuktaMahee-SemiBold,MuktaMalar-ExtraLight,Mukta-Regular,MuktaVaani-Medium,EkMukta-SemiBold,MuktaMahee-ExtraLight",mukta,2014.0,"
Mukta is a Unicode compliant, versatile, contemporary, humanist, mono-linear typeface family available in seven weights, supporting Devanagari, Gujarati, Gurumukhi, Tamil and Latin scripts.
This type family is a libre licensed version of Ek's self-titled multi-script project, an ongoing effort to develop a unified type family for each Indian script.
The goal is to build one harmonious family across all Indian scripts without letting the visual features of one script dominate over others.
This ensures that the fonts can be used successfully for both single and multi-script purposes.


Mukta was designed by Girish Dalvi and Yashodeep Gholap.
Mukta Vaani was designed by Noopur Datye and Pallavi Karambelkar with support from Sarang Kulkarni and Maithili Shingre.
Mukta Malar was designed by Aadarsh Rajan.
Mukta Mahee was designed by Shuchita Grover and Noopur Datye.


Ek would like to thank Vinay Saynekar, Santosh Kshirsagar, Shubhanand Jog, Yogesh Jahargirdar, Pradnya Naik, Snehal Patil, Omkar Shende and Dave Crossland for their suggestions and feedback during the font design process.
Ek would also like to thank faculty and friends from the Industrial Design Centre, IIT Bombay, and from Sir J J Institute of Applied Art, for their support and encouragement.


This project is led by Ek Type, a collective of type designers based in Mumbai focused on designing contemporary Indian typefaces.
To contribute, see github.com/EkType/Mukta

","{'contemporary', 'single', 'visual', 'available'}",['Ek Type']
